All Causes of Death Rates  Table for Georgia by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Rate

County,FIPS,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Catoosa County",13047,885.5 ,857.1, 914.6,766,rising,2.5 ,0.9, 6.5
"Rabun County",13241,883.4 ,831.1, 938.7,250,rising,7.2 ,0.1, 12.4
"Baker County",13007,880.9 ,750.5, 1029.7,38,stable,6.3 ,-0.7, 26.0
"Jones County",13169,877.8 ,833.5, 924,309,rising,3.6 ,0.8, 9.4
"Webster County",13307,871.9 ,723.7, 1043.8,31,rising,7.2 ,1.5, 21.3
"Rockdale County",13247,870.2 ,843.7, 897.3,864,rising,2.6 ,1.0, 5.8
"Oglethorpe County",13221,869.6 ,810.8, 931.9,172,rising,2.3 ,0.3, 7.9
"Lincoln County",13181,869.1 ,790.8, 954,105,stable,1.7 ,-2.5, 9.7
"Coweta County",13077,866 ,844.4, 888.1,1291,rising,5.0 ,1.0, 7.8
"Gilmer County",13123,860.8 ,821.2, 902,417,rising,2.5 ,0.7, 6.9
"Dawson County",13085,858.9 ,812.3, 907.6,284,stable,0.6 ,-1.3, 5.8
"Schley County",13249,853.5 ,746, 973.1,48,stable,5.4 ,-1.4, 17.1
"Wheeler County",13309,849.7 ,763.5, 943.6,73,stable,-0.5 ,-1.7, 0.9
"Camden County",13039,844.8 ,808.6, 882.1,445,stable,4.3 ,-0.2, 7.7
"Paulding County",13223,838.6 ,816.1, 861.6,1159,rising,3.3 ,0.7, 7.2
"Morgan County",13211,833.4 ,784.5, 884.7,233,stable,-0.1 ,-0.8, 0.8
"Chatham County",13051,833.2 ,819.3, 847.3,2843,rising,5.4 ,2.3, 7.2
"Glynn County",13127,832.9 ,809.1, 857.3,1027,stable,2.5 ,-0.1, 6.4
"Hall County",13139,804.1 ,787.4, 821,1815,rising,1.1 ,0.2, 3.5
"Echols County",13101,802.7 ,674.8, 947.5,29,stable,-0.5 ,-1.8, 1.0
"Clarke County",13059,794.7 ,770.8, 819.2,868,rising,4.6 ,0.6, 7.0
"Towns County",13281,789.1 ,733.1, 849.2,214,stable,5.5 ,-0.8, 10.8
"Greene County",13133,776.1 ,727.6, 827.4,241,stable,-0.5 ,-1.5, 3.4
"Fulton County",13121,766.8 ,759, 774.7,7689,rising,2.1 ,0.6, 4.6
"Union County",13291,766.5 ,727.4, 807.7,381,stable,-0.5 ,-1.1, 0.2
"Harris County",13145,752.9 ,715.2, 792.1,324,stable,1.1 ,-0.3, 5.1
"Cherokee County",13057,725.5 ,710.7, 740.6,1933,stable,0.0 ,-0.6, 1.2
"Columbia County",13073,723.8 ,705.1, 742.9,1170,rising,2.5 ,0.7, 5.3
"DeKalb County",13089,712.4 ,703.7, 721.2,5317,rising,3.8 ,1.8, 5.2
"Cobb County",13067,710.7 ,701.8, 719.7,5095,rising,2.4 ,0.3, 3.8
"Oconee County",13219,701.8 ,667.5, 737.4,325,rising,1.8 ,0.4, 4.5
"Gwinnett County",13135,699.9 ,691, 708.8,5191,stable,1.0 ,-0.1, 3.5
"Fayette County",13113,677.3 ,658.4, 696.7,1034,stable,3.5 ,-0.6, 6.4
"Forsyth County",13117,633.1 ,618.2, 648.2,1431,stable,0.2 ,-0.9, 3.3
